cases=67 out_dir=agent_space/gb300_fwd_config_final_dense_narrow
[1/14] compiled dense_short_k_clc/baseline
[2/14] compiled dense_short_k_clc/baseline
[3/14] compiled dense_short_k_clc/baseline
[4/14] compiled dense_short_k_clc/baseline
[5/14] compiled dense_short_k_clc/candidate
[6/14] compiled dense_short_k_clc/candidate
[7/14] compiled dense_short_k_clc/baseline
[8/14] compiled dense_short_k_clc/baseline
[9/14] compiled dense_short_k_clc/candidate
[10/14] compiled dense_short_k_clc/candidate
[11/14] compiled dense_short_k_clc/candidate
[12/14] compiled dense_short_k_clc/candidate
[13/14] compiled dense_short_k_clc/candidate
[14/14] compiled dense_short_k_clc/baseline
correctness passed: dense_short_k_clc
[1/67] dense_short_k_clc__q1_k2048_b32_c1_s1__h32kv8d128v128: 1.019x
[2/67] dense_short_k_clc__q17_k1536_b48_c1_s1__h71kv1d64v64: 1.062x
[3/67] dense_short_k_clc__q64_k1280_b96_c1_s1__h32kv32d96v96: 1.066x
[4/67] dense_short_k_clc__q1_k1152_b32_c1_s1__h32kv8d128v128: 1.068x
[5/67] dense_short_k_clc__q17_k1024_b48_c1_s1__h71kv1d64v64: 1.074x
[6/67] dense_short_k_clc__q64_k896_b96_c1_s1__h32kv32d96v96: 1.156x
[7/67] dense_short_k_clc__q1_k640_b32_c1_s1__h32kv8d128v128: 1.114x
[8/67] dense_short_k_clc__q17_k1536_b96_c1_s1__h32kv32d96v96: 1.041x
[9/67] dense_short_k_clc__q17_k1024_b96_c1_s1__h32kv32d96v96: 1.139x
[10/67] dense_short_k_clc__q1_k2048_b96_c1_s1__h32kv32d96v96: 1.020x
[11/67] dense_short_k_clc__q129_k1280_b48_c1_s1__h32kv8d128v128: 1.125x
[12/67] dense_short_k_clc__q1_k1152_b96_c1_s1__h32kv32d96v96: 1.136x
[13/67] dense_short_k_clc__q129_k896_b48_c1_s1__h32kv8d128v128: 1.174x
[14/67] dense_short_k_clc__q1_k640_b96_c1_s1__h32kv32d96v96: 1.357x
[15/67] dense_short_k_clc__q64_k1536_b48_c1_s1__h32kv8d128v128: 1.072x
[16/67] dense_short_k_clc__q129_k1280_b96_c1_s1__h71kv1d64v64: 1.235x
[17/67] dense_short_k_clc__q64_k1024_b48_c1_s1__h32kv8d128v128: 1.078x
[18/67] dense_short_k_clc__q129_k896_b96_c1_s1__h71kv1d64v64: 1.309x
[19/67] dense_short_k_clc__q17_k2048_b48_c1_s1__h32kv8d128v128: 1.045x
[20/67] dense_short_k_clc__q64_k1536_b96_c1_s1__h71kv1d64v64: 1.196x
[21/67] dense_short_k_clc__q17_k1152_b48_c1_s1__h32kv8d128v128: 1.088x
[22/67] dense_short_k_clc__q64_k1024_b96_c1_s1__h71kv1d64v64: 1.259x
[23/67] dense_short_k_clc__q17_k640_b48_c1_s1__h32kv8d128v128: 1.136x
[24/67] dense_short_k_clc__q17_k2048_b96_c1_s1__h71kv1d64v64: 1.120x
[25/67] dense_short_k_clc__q129_k1536_b32_c1_s1__h64kv8d64v64: 1.097x
[26/67] dense_short_k_clc__q1_k1280_b48_c1_s1__h32kv8d128v128: 1.095x
[27/67] dense_short_k_clc__q17_k1152_b96_c1_s1__h71kv1d64v64: 1.139x
[28/67] dense_short_k_clc__q129_k1024_b32_c1_s1__h64kv8d64v64: 1.159x
[29/67] dense_short_k_clc__q1_k896_b48_c1_s1__h32kv8d128v128: 1.118x
[30/67] dense_short_k_clc__q17_k640_b96_c1_s1__h71kv1d64v64: 1.196x
[31/67] dense_short_k_clc__q64_k2048_b32_c1_s1__h64kv8d64v64: 1.034x
[32/67] dense_short_k_clc__q64_k1152_b32_c1_s1__h64kv8d64v64: 1.117x
[33/67] dense_short_k_clc__q64_k640_b32_c1_s1__h64kv8d64v64: 1.201x
[34/67] dense_short_k_clc__q129_k1536_b96_c1_s1__h32kv8d128v128: 1.160x
[35/67] dense_short_k_clc__q17_k1280_b32_c1_s1__h64kv8d64v64: 1.005x
[36/67] dense_short_k_clc__q129_k1024_b96_c1_s1__h32kv8d128v128: 1.187x
[37/67] dense_short_k_clc__q17_k896_b32_c1_s1__h64kv8d64v64: 1.010x
[38/67] dense_short_k_clc__q64_k2048_b96_c1_s1__h32kv8d128v128: 1.072x
[39/67] dense_short_k_clc__q1_k1536_b32_c1_s1__h64kv8d64v64: 1.021x
[40/67] dense_short_k_clc__q64_k1152_b96_c1_s1__h32kv8d128v128: 1.118x
[41/67] dense_short_k_clc__q1_k1024_b32_c1_s1__h64kv8d64v64: 1.051x
[42/67] dense_short_k_clc__q64_k640_b96_c1_s1__h32kv8d128v128: 1.205x
[43/67] dense_short_k_clc__q129_k2048_b32_c1_s1__h32kv32d96v96: 1.123x
[44/67] dense_short_k_clc__q17_k1280_b96_c1_s1__h32kv8d128v128: 1.051x
[45/67] dense_short_k_clc__q129_k1152_b32_c1_s1__h32kv32d96v96: 1.170x
[46/67] dense_short_k_clc__q17_k896_b96_c1_s1__h32kv8d128v128: 1.092x
[47/67] dense_short_k_clc__q129_k640_b32_c1_s1__h32kv32d96v96: 1.252x
[48/67] dense_short_k_clc__q129_k2048_b48_c1_s1__h64kv8d64v64: 1.065x
[49/67] dense_short_k_clc__q1_k1536_b96_c1_s1__h32kv8d128v128: 1.057x
[50/67] dense_short_k_clc__q64_k1280_b32_c1_s1__h32kv32d96v96: 1.084x
[51/67] dense_short_k_clc__q129_k1152_b48_c1_s1__h64kv8d64v64: 1.156x
[52/67] dense_short_k_clc__q1_k1024_b96_c1_s1__h32kv8d128v128: 1.104x
[53/67] dense_short_k_clc__q64_k896_b32_c1_s1__h32kv32d96v96: 1.154x
[54/67] dense_short_k_clc__q129_k640_b48_c1_s1__h64kv8d64v64: 1.300x
[55/67] dense_short_k_clc__q17_k1536_b32_c1_s1__h32kv32d96v96: 1.066x
[56/67] dense_short_k_clc__q64_k1280_b48_c1_s1__h64kv8d64v64: 1.126x
[57/67] dense_short_k_clc__q17_k1024_b32_c1_s1__h32kv32d96v96: 1.145x
[58/67] dense_short_k_clc__q64_k896_b48_c1_s1__h64kv8d64v64: 1.184x
[59/67] dense_short_k_clc__q1_k2048_b32_c1_s1__h32kv32d96v96: 1.034x
[60/67] dense_short_k_clc__q17_k1536_b48_c1_s1__h64kv8d64v64: 1.049x
[61/67] dense_short_k_clc__q1_k1152_b32_c1_s1__h32kv32d96v96: 1.132x
[62/67] dense_short_k_clc__q17_k1024_b48_c1_s1__h64kv8d64v64: 1.081x
[63/67] dense_short_k_clc__q17_k1088_b40_c1_s1__h32kv8d128v128: 1.093x
[64/67] dense_short_k_clc__q97_k1216_b40_c1_s1__h32kv8d128v128: 1.103x
[65/67] dense_short_k_clc__q33_k1152_b40_c1_s1__h71kv1d64v64: 1.114x
[66/67] dense_short_k_clc__q17_k1088_b40_c1_s1__h32kv32d96v96: 1.150x
[67/67] dense_short_k_clc__q97_k1216_b40_c1_s1__h64kv8d64v64: 1.117x
dense_short_k_clc: n=67 geomean=1.118x weighted=1.128x range=[1.005, 1.357]x W/N/L=65/2/0 geomean95=[1.118, 1.119]
results=agent_space/gb300_fwd_config_final_dense_narrow/results.json
