cases=303 out_dir=agent_space/gb300_fwd_config_final_exact
[1/44] compiled long_k_d64_nonpersistent/baseline
[2/44] compiled long_k_d64_nonpersistent/candidate
[3/44] compiled long_k_d64_nonpersistent/baseline
[4/44] compiled long_k_d64_nonpersistent/candidate
[5/44] compiled long_k_d64_nonpersistent/candidate
[6/44] compiled long_k_d64_nonpersistent/candidate
[7/44] compiled long_k_d64_nonpersistent/baseline
[8/44] compiled long_k_d64_nonpersistent/baseline
[9/44] compiled balanced_varlen_mha_clc/baseline
[10/44] compiled balanced_varlen_mha_clc/baseline
[11/44] compiled balanced_varlen_mha_clc/baseline
[12/44] compiled high_head_varlen_clc/baseline
[13/44] compiled balanced_varlen_mha_clc/candidate
[14/44] compiled balanced_varlen_mha_clc/candidate
[15/44] compiled balanced_varlen_mha_clc/candidate
[16/44] compiled high_head_varlen_clc/candidate
[17/44] compiled high_head_varlen_clc/baseline
[18/44] compiled high_head_varlen_clc/candidate
[19/44] compiled high_head_varlen_clc/baseline
[20/44] compiled high_head_varlen_clc/baseline
[21/44] compiled dense_short_k_clc/baseline
[22/44] compiled high_head_varlen_clc/candidate
[23/44] compiled dense_short_k_clc/candidate
[24/44] compiled high_head_varlen_clc/baseline
[25/44] compiled high_head_varlen_clc/baseline
[26/44] compiled high_head_varlen_clc/baseline
[27/44] compiled high_head_varlen_clc/candidate
[28/44] compiled dense_short_k_clc/baseline
[29/44] compiled high_head_varlen_clc/candidate
[30/44] compiled high_head_varlen_clc/candidate
[31/44] compiled high_head_varlen_clc/candidate
[32/44] compiled dense_short_k_clc/candidate
[33/44] compiled dense_short_k_clc/baseline
[34/44] compiled dense_short_k_clc/candidate
[35/44] compiled dense_short_k_clc/baseline
[36/44] compiled dense_short_k_clc/baseline
[37/44] compiled dense_short_k_clc/candidate
[38/44] compiled dense_short_k_clc/baseline
[39/44] compiled dense_short_k_clc/candidate
[40/44] compiled dense_short_k_clc/candidate
[41/44] compiled dense_short_k_clc/candidate
[42/44] compiled dense_short_k_clc/baseline
[43/44] compiled dense_short_k_clc/candidate
[44/44] compiled dense_short_k_clc/baseline
correctness passed: long_k_d64_nonpersistent
correctness passed: balanced_varlen_mha_clc
correctness passed: high_head_varlen_clc
correctness passed: dense_short_k_clc
[1/303] long_k_d64_nonpersistent__q128_k4096_b1_c0_s1__h16kv16d64v64: 1.054x
[2/303] long_k_d64_nonpersistent__q128_k5120_b1_c0_s1__h16kv16d64v64: 1.055x
[3/303] long_k_d64_nonpersistent__q128_k8192_b1_c0_s1__h16kv16d64v64: 1.040x
[4/303] long_k_d64_nonpersistent__q1024_k4096_b1_c0_s1__h16kv16d64v64: 1.106x
[5/303] long_k_d64_nonpersistent__q1024_k5120_b1_c0_s1__h16kv16d64v64: 1.091x
[6/303] long_k_d64_nonpersistent__q1024_k8192_b1_c0_s1__h16kv16d64v64: 1.099x
[7/303] long_k_d64_nonpersistent__q4096_k4096_b1_c0_s1__h16kv16d64v64: 1.063x
[8/303] long_k_d64_nonpersistent__q4096_k5120_b1_c0_s1__h16kv16d64v64: 1.074x
[9/303] long_k_d64_nonpersistent__q4096_k8192_b1_c0_s1__h16kv16d64v64: 1.090x
[10/303] long_k_d64_nonpersistent__q8192_k4096_b1_c0_s1__h16kv16d64v64: 1.047x
[11/303] long_k_d64_nonpersistent__q8192_k5120_b1_c0_s1__h16kv16d64v64: 1.057x
[12/303] long_k_d64_nonpersistent__q8192_k8192_b1_c0_s1__h16kv16d64v64: 1.078x
[13/303] long_k_d64_nonpersistent__q128_k4096_b8_c0_s1__h16kv16d64v64: 1.023x
[14/303] long_k_d64_nonpersistent__q128_k5120_b8_c0_s1__h16kv16d64v64: 1.046x
[15/303] long_k_d64_nonpersistent__q128_k8192_b8_c0_s1__h16kv16d64v64: 1.042x
[16/303] long_k_d64_nonpersistent__q1024_k4096_b8_c0_s1__h16kv16d64v64: 1.032x
[17/303] long_k_d64_nonpersistent__q1024_k5120_b8_c0_s1__h16kv16d64v64: 1.041x
[18/303] long_k_d64_nonpersistent__q1024_k8192_b8_c0_s1__h16kv16d64v64: 1.071x
[19/303] long_k_d64_nonpersistent__q4096_k4096_b8_c0_s1__h16kv16d64v64: 1.015x
[20/303] long_k_d64_nonpersistent__q4096_k5120_b8_c0_s1__h16kv16d64v64: 1.031x
[21/303] long_k_d64_nonpersistent__q4096_k8192_b8_c0_s1__h16kv16d64v64: 1.048x
[22/303] long_k_d64_nonpersistent__q8192_k4096_b8_c0_s1__h16kv16d64v64: 1.016x
[23/303] long_k_d64_nonpersistent__q8192_k5120_b8_c0_s1__h16kv16d64v64: 1.031x
